Date,Open,High,Low,Close,Adj Close,Volume
2013-11-24,625.229980,631.549988,556.059998,598.450012,598.450012,1503408
2013-11-25,598.450012,620.590027,576.090027,603.789978,603.789978,1634771
2013-11-26,603.789978,711.270020,598.869995,706.510010,706.510010,3260880
2013-11-27,706.510010,785.190002,677.200012,779.330017,779.330017,3983352
2013-11-28,779.330017,874.750000,756.909973,826.369995,826.369995,4415164
2013-11-29,826.369995,891.099976,787.729980,875.989990,875.989990,4018405
2013-11-30,875.989990,887.450012,860.599976,865.309998,865.309998,1554268
2013-12-01,865.309998,872.650024,605.679993,738.580017,738.580017,8558905
2013-12-02,738.580017,832.070007,717.880005,790.450012,790.450012,3373532
2013-12-03,790.450012,851.210022,767.969971,829.340027,829.340027,2197441
2013-12-04,829.340027,887.250000,819.929993,876.599976,876.599976,2043600
2013-12-05,876.599976,890.359985,652.789978,796.929993,796.929993,7225295
2013-12-06,796.929993,811.090027,602.150024,612.809998,612.809998,4819491
2013-12-07,612.809998,672.820007,416.790009,509.970001,509.970001,6837893
2013-12-08,509.970001,619.190002,487.709991,591.710022,591.710022,1904290
2013-12-09,591.710022,698.280029,580.880005,675.609985,675.609985,2099613
2013-12-10,675.609985,755.580017,663.440002,739.890015,739.890015,2376170
2013-12-11,739.890015,745.549988,631.349976,665.320007,665.320007,2314236
2013-12-12,665.320007,670.890015,611.869995,642.299988,642.299988,954563
2013-12-13,642.299988,701.299988,626.119995,666.570007,666.570007,1594321
2013-12-14,666.570007,667.200012,633.909973,652.140015,652.140015,390509
2013-12-15,652.140015,658.590027,609.099976,658.390015,658.390015,741672
2013-12-16,658.390015,660.179993,505.160004,547.219971,547.219971,3423626
2013-12-17,547.219971,561.440002,495.329987,515.890015,515.890015,2183084
2013-12-18,515.890015,518.450012,309.070007,396.420013,396.420013,6587868
2013-12-19,396.420013,536.270020,376.899994,528.250000,528.250000,2582471
2013-12-20,528.250000,548.140015,459.799988,481.970001,481.970001,1966138
2013-12-21,481.970001,505.160004,445.799988,465.700012,465.700012,815854
2013-12-22,465.700012,502.760010,448.750000,464.459991,464.459991,748054
2013-12-23,464.459991,512.130005,460.070007,511.339996,511.339996,699025
2013-12-24,511.339996,513.679993,481.019989,493.670013,493.670013,446600
2013-12-25,493.670013,509.309998,489.049988,507.839996,507.839996,315255
2013-12-26,507.839996,588.669983,504.299988,569.239990,569.239990,1946473
2013-12-27,569.239990,589.349976,551.090027,565.919983,565.919983,1312992
2013-12-28,565.919983,572.599976,528.299988,547.630005,547.630005,794650
2013-12-29,547.630005,567.169983,535.960022,556.169983,556.169983,399978
2013-12-30,556.169983,576.200012,556.109985,567.190002,567.190002,509798
2013-12-31,567.190002,568.429993,553.820007,566.940002,566.940002,384635
2014-01-01,566.940002,582.429993,553.000000,569.830017,569.830017,500369
2014-01-02,569.830017,612.570007,563.750000,599.979980,599.979980,1076475
2014-01-03,599.979980,624.780029,594.309998,616.109985,616.109985,1230020
2014-01-04,616.109985,653.030029,604.440002,647.580017,647.580017,1191145
2014-01-05,647.580017,731.679993,632.969971,706.900024,706.900024,2518955
2014-01-06,706.900024,764.239990,665.340027,703.840027,703.840027,2678941
2014-01-07,703.840027,727.929993,622.380005,631.440002,631.440002,2273554
2014-01-08,631.440002,675.450012,598.599976,645.150024,645.150024,1067564
2014-01-09,645.150024,671.960022,626.950012,661.809998,661.809998,1213197
2014-01-10,661.809998,665.479980,633.929993,657.020020,657.020020,612864
2014-01-11,657.020020,701.570007,656.580017,694.960022,694.960022,1115044
2014-01-12,694.960022,707.280029,656.280029,669.409973,669.409973,923424
2014-01-13,669.409973,665.909973,627.969971,655.450012,655.450012,1041630
2014-01-14,655.450012,652.659973,631.979980,637.919983,637.919983,501357
2014-01-15,637.919983,671.919983,642.840027,662.140015,662.140015,783753
2014-01-16,662.140015,664.280029,645.659973,646.099976,646.099976,572485
2014-01-17,646.099976,656.830017,606.750000,626.760010,626.760010,1437788
2014-01-18,626.760010,637.280029,610.580017,626.190002,626.190002,387024
2014-01-19,626.190002,686.799988,627.359985,650.799988,650.799988,510264
2014-01-20,650.799988,689.739990,661.140015,671.960022,671.960022,913506
2014-01-21,671.960022,686.750000,661.250000,676.299988,676.299988,841266
2014-01-22,676.299988,673.380005,650.090027,653.830017,653.830017,587430
2014-01-23,653.830017,661.530029,648.130005,650.270020,650.270020,501483
2014-01-24,650.270020,647.270020,622.960022,627.469971,627.469971,842028
2014-01-25,627.469971,687.869995,644.750000,668.760010,668.760010,770195
2014-01-26,668.760010,729.820007,674.359985,704.659973,704.659973,1865574
2014-01-27,704.659973,678.640015,625.349976,633.640015,633.640015,1225671
2014-01-28,633.640015,668.820007,626.179993,644.669983,644.669983,1286375
